X17753;X17754;X17755;X17756;X17757;X17758;X17760;X17761;X17762;X17763;X17764;X17765;X17766;X17767;X17768;X17769;X17770;X17771;X17772;X17773;X17774;X17775;X17776;X17777;X17778
ABHD11;0.014581783;0.01530515;0.010903698;0.00972644;0.010569268;0.012693871;0.014748415;0.013080392;0.008874167;0.01024621;0.00876901;0.009769389;0.013369315;0.008728303;0.010195139;0.00887147;0.009585895;0.007723009;0.011526566;0.013265066;0.007475964;0.010468608;0.006318437;0.007555758;0.009023782
ABHD2;0.059906438;0.054971175;0.046796048;0.039623661;0.045652574;0.05129569;0.049102514;0.046631144;0.04232631;0.049500397;0.054962568;0.04204268;0.052127669;0.036453405;0.054896339;0.044990191;0.04062831;0.039298095;0.045430883;0.047401598;0.050309843;0.046185271;0.045351034;0.044759581;0.037110007
ABHD4;0.056334648;0.057785847;0.04902406;0.0514375;0.053991184;0.047120707;0.057304051;0.067327842;0.051838597;0.053224761;0.062994673;0.061380967;0.048364814;0.040788675;0.038886943;0.04616849;0.043286628;0.057552701;0.062043301;0.047275684;0.065557212;0.045204525;0.042932011;0.052502471;0.048278748
ABHD5;0.016171711;0.009796142;0.011181477;0.012377802;0.012425836;0.01597757;0.021872161;0.013452697;0.00968118;0.021518405;0.014013574;0.018155052;0.019635883;0.019694791;0.005255885;0.007715741;0.008102601;0.007809586;0.029065322;0.008920252;0.006363708;0.010013027;0.007602896;0.010107409;0.006794014
ABHD6;0.029525773;0.030231187;0.030081087;0.02981926;0.032219406;0.033861403;0.035905351;0.040117068;0.024983963;0.029371444;0.028006246;0.032812418;0.019123413;0.023186399;0.024594436;0.023585617;0.025982127;0.024804137;0.029840559;0.028150685;0.031393178;0.032080354;0.027042058;0.032804732;0.022421415
ABHD7;0.124309691;0.070344881;0.080559377;0.0752288;0.113704205;0.077555601;0.08346074;0.158069656;0.058754103;0.082499696;0.12331934;0.078697414;0.118403201;0.068897291;0.089612702;0.060976039;0.10340022;0.069732851;0.069112525;0.083973689;0.106980333;0.205803404;0.062141998;0.09922657;0.105622859
ABHD9;0.173669369;0.179927419;0.14167234;0.423088611;0.521742531;0.681553476;0.43619534;0.688884036;0.670944906;0.178729896;0.146073594;0.523942804;0.546235507;0.502910089;0.19779944;0.695724338;0.152302377;0.746293292;0.111134443;0.143116913;0.556970314;0.271943237;0.062461648;0.179306881;0.095302262
ABI1;0.043679843;0.036922984;0.034974684;0.032099394;0.036230858;0.032042276;0.045402108;0.041833025;0.032266712;0.046204529;0.038812735;0.036943024;0.031647594;0.029670565;0.032035012;0.03480017;0.040591891;0.038832797;0.038704829;0.034573298;0.038425299;0.029810716;0.030189396;0.034109689;0.033612603
ABI2;0.021020513;0.020853882;0.017671411;0.032653381;0.038794908;0.027720593;0.035652349;0.037484901;0.021332767;0.023340076;0.023547465;0.021299623;0.028311015;0.020866988;0.018652146;0.018673728;0.014073766;0.016715472;0.042225314;0.020620122;0.015573529;0.030058703;0.026282689;0.012274186;0.015699709
ABI3;0.738237064;0.731462027;0.747378692;0.711647005;0.780286086;0.763939066;0.624545936;0.390143765;0.589494233;0.637923432;0.702143604;0.676776488;0.648458518;0.768819733;0.543555399;0.214141738;0.78209668;0.88879708;0.788665213;0.519718774;0.675716631;0.62519573;0.791009867;0.772635845;0.427712534
ABL1;0.061347301;0.081830111;0.039617106;0.079399014;0.043139034;0.047373065;0.116649048;0.06025259;0.031379043;0.069928714;0.054900493;0.021264973;0.071897732;0.040337792;0.025908524;0.016414501;0.02109855;0.020269451;0.069308391;0.039357508;0.017305895;0.044086312;0.020514399;0.022939879;0.026198925
ABL2;0.046835675;0.069116786;0.050018108;0.040712848;0.032996917;0.042929782;0.069288354;0.060969337;0.043160242;0.043175719;0.034409215;0.059700749;0.0504434;0.041417498;0.112672391;0.04126966;0.038717175;0.043579168;0.042993193;0.042776222;0.055897881;0.039649708;0.039894152;0.057114736;0.04180818
ABLIM1;0.249057333;0.404535845;0.102523212;0.320065918;0.144866201;0.13725545;0.12629963;0.224396426;0.128590099;0.35807103;0.341753439;0.380100049;0.394708751;0.156507755;0.301691484;0.132865617;0.160483537;0.075761435;0.226359798;0.195189382;0.228315239;0.341922042;0.125137133;0.265433072;0.21415041
ABO;0.077383971;0.056294104;0.052486007;0.07121585;0.072675499;0.061473186;0.089995443;0.095227723;0.067565089;0.07108532;0.092150748;0.078223365;0.093298746;0.073620639;0.057167052;0.060905415;0.044828383;0.077103097;0.050714107;0.058416875;0.083419156;0.084944631;0.060106747;0.086184929;0.055645213
ABP1;0.299492328;0.521996564;0.137593714;0.358754788;0.232960108;0.176578259;0.11262665;0.251490058;0.100851718;0.42602002;0.357568869;0.456861003;0.426318886;0.254961044;0.305578165;0.144442347;0.163884011;0.031199585;0.182266886;0.243111697;0.165100118;0.431426802;0.268191424;0.391003576;0.166361441
ABR;0.153840529;0.046999702;0.037747497;0.442799447;0.061538792;0.514967967;0.284952284;0.078489067;0.053195954;0.031405515;0.035042365;0.055669934;0.082719694;0.355098488;0.033787436;0.224623834;0.325077906;0.232208538;0.052549594;0.068335035;0.140888475;0.05165516;0.299800739;0.043911811;0.016144217
ABRA;0.847808091;0.807382912;0.889787484;0.836040674;0.490679411;0.787398406;0.695086894;0.687988136;0.877874369;0.498606048;0.84261932;0.677672504;0.812460746;0.461958591;0.702506487;0.436905627;0.721427809;0.719143771;0.83076439;0.699988855;0.848764578;0.862811872;0.782199557;0.741880699;0.409996566
ABT1;0.056126995;0.060561818;0.050122233;0.055572797;0.056863525;0.068841176;0.056613703;0.070435479;0.063612549;0.053243644;0.072404267;0.057983378;0.051548678;0.05074076;0.057142152;0.045093686;0.047363692;0.06384369;0.063510696;0.044269424;0.057752724;0.047586884;0.056961693;0.051641454;0.055648328
ABTB1;0.283036685;0.389144898;0.221506507;0.322223661;0.20437196;0.267097666;0.215309155;0.212777546;0.104439609;0.159307293;0.205775153;0.337746668;0.387311959;0.234549858;0.280156198;0.285429436;0.285761204;0.357666643;0.190550108;0.210205866;0.16778383;0.233272514;0.159413436;0.333661714;0.266841709
ABTB2;0.064757177;0.080860819;0.318790863;0.109726481;0.550543953;0.134091115;0.057615499;0.523650897;0.554730413;0.066669963;0.058404235;0.060822429;0.104645811;0.053023623;0.054557312;0.062703516;0.053650145;0.535321855;0.048647543;0.042830014;0.615370507;0.059558221;0.039999642;0.065008067;0.043750168
ACAA1;0.037831843;0.034547999;0.035060727;0.019414636;0.040708384;0.029511631;0.077897256;0.027258823;0.024776832;0.023636532;0.027314811;0.025061212;0.033271799;0.036187622;0.017103545;0.01826541;0.013492128;0.0295771;0.043799623;0.031420063;0.02140496;0.029563588;0.008546233;0.014603753;0.021269056
ACAA2;0.025749326;0.022774649;0.011692378;0.024226036;0.028794016;0.021853288;0.027155665;0.027273225;0.022458595;0.024111702;0.030053324;0.022465914;0.024665857;0.024339575;0.015961331;0.020113124;0.023084307;0.023619482;0.040194957;0.016691838;0.013749271;0.023892036;0.017089994;0.013116266;0.020452258
ACACA;0.039517634;0.044591728;0.041301985;0.039509354;0.034200237;0.042468002;0.047528737;0.047259248;0.039995451;0.0372557;0.039885977;0.044652791;0.036678787;0.026575075;0.031397506;0.032049353;0.028732111;0.038179651;0.035173766;0.03748986;0.039132847;0.036846324;0.0383939;0.035687087;0.034167856
ACAD8;0.085637279;0.071228706;0.065147246;0.058616179;0.041400109;0.081810798;0.082376846;0.066411774;0.039488656;0.040977915;0.116281817;0.068257053;0.051609127;0.037868314;0.025629784;0.02836699;0.033488596;0.054807998;0.05855459;0.059097318;0.031822552;0.041618758;0.041857822;0.035321076;0.063296693
ACAD9;0.036793375;0.037591986;0.030273111;0.029258868;0.037723436;0.036361982;0.038185887;0.036155741;0.03190901;0.03155768;0.033422296;0.045749219;0.028798934;0.028677513;0.034196303;0.034358116;0.026153279;0.02710717;0.030083728;0.023774775;0.026492036;0.029320937;0.031248568;0.029887323;0.033769889
ACADL;0.506225367;0.064497353;0.112606611;0.042490517;0.118028657;0.078885364;0.063340515;0.091096348;0.08132792;0.616005422;0.103810364;0.115943945;0.619043468;0.117699875;0.051067503;0.740592703;0.046700216;0.028004732;0.090833671;0.148316071;0.634207896;0.110849297;0.053647884;0.064358713;0.051636272
ACADS;0.07136746;0.1124459;0.090356615;0.087791189;0.082751836;0.127720939;0.134018855;0.105449;0.114162032;0.108335725;0.105385371;0.084260939;0.049412273;0.089147061;0.110624765;0.080074394;0.066452278;0.09527592;0.083826048;0.084939373;0.071244758;0.112995668;0.103319338;0.109464848;0.106412989
ACADSB;0.054123387;0.045402572;0.022562392;0.034738827;0.025913542;0.043760268;0.050958136;0.043251034;0.029797471;0.035594319;0.052414874;0.022888089;0.038285385;0.024879576;0.018579368;0.008382865;0.012223734;0.012782501;0.046683173;0.02445534;0.014653825;0.008136198;0.01135324;0.012169679;0.017369901
ACADVL;0.722883668;0.599844664;0.401936624;0.593130702;0.354456826;0.725673458;0.639841253;0.295658197;0.1560581;0.650215712;0.659124828;0.729340066;0.566191363;0.360963946;0.682733041;0.468552851;0.591002716;0.497013294;0.560714811;0.61315149;0.424606581;0.688813142;0.696493192;0.677239068;0.694197019
ACAT1;0.019739634;0.029264925;0.015812457;0.021703873;0.02113187;0.017475476;0.028537308;0.021275569;0.012826219;0.023723811;0.020213459;0.016256791;0.028081259;0.012371837;0.008038128;0.009286508;0.012320326;0.012988178;0.018375189;0.01388596;0.017657041;0.015634429;0.014443015;0.014540212;0.017520303
ACAT2;0.020147912;0.024965637;0.022802218;0.017725378;0.025242223;0.025128148;0.031454548;0.022788347;0.025234903;0.020466091;0.031073917;0.029485784;0.017129152;0.016970602;0.017785455;0.019705623;0.04519055;0.029490729;0.020071753;0.021306985;0.023132658;0.021577756;0.023655711;0.02614118;0.020756704
ACBD3;0.069366575;0.069977401;0.05080442;0.040406438;0.110011296;0.095337481;0.075976806;0.047922975;0.033090471;0.064518901;0.052341745;0.079316099;0.04116065;0.032374278;0.056390624;0.019868645;0.040645952;0.012571253;0.042467016;0.049147354;0.042928626;0.063649272;0.02576867;0.049453247;0.045309436
ACBD5;0.021185786;0.016517477;0.021975557;0.018691831;0.020538348;0.021524986;0.022297403;0.023933253;0.017380282;0.018031908;0.022888779;0.026692283;0.015204871;0.015058799;0.014198508;0.015749002;0.018007192;0.021105702;0.018417721;0.016568005;0.020331021;0.017778805;0.018902895;0.017549186;0.018336878
