"","r (Sp)","p (Sp)","adj.Spear.Pval","distCor","SigNegCorr","cMI_min","t_opt","ratio","meth_regulated","logicSc","numericSc"
"IARS",-0.185238089056261,0.00552521759827562,0.0262693415792596,0.20252763846616,FALSE,0.000825972838996343,"0.06",0.300218710563197,FALSE,FALSE,0
"IARS2",-0.219498404683883,0.000967804413279927,0.00649315789626851,0.208549090890247,FALSE,0.00037481285231048,"0.03",0.335613566133739,FALSE,FALSE,0
"IBSP",0.136278542296406,0.0420393213461199,0.12632157023402,0.148609694838177,FALSE,0.00331249805739473,"0.25",0.412456559719627,FALSE,FALSE,-2
"ICA1",-0.213944363330525,0.00130802284467091,0.00822345242292302,0.222804678531563,FALSE,0.00623081282427646,"0.23",0.361895755385926,FALSE,FALSE,-8
"ICA1L",0.051567342486625,0.443529382832784,0.62975044194421,0.189445615304453,FALSE,0.00146566972632806,"0.1",0.0833432058858712,FALSE,FALSE,0
"ICAM1",-0.0452088303197245,0.501799363224892,0.676101370864674,0.120032846735695,FALSE,0.000358316741426115,"0.02",0.397420820665429,FALSE,FALSE,0
"ICAM2",-0.0820696198268259,0.222186895742753,0.405565055282684,0.151443787928577,FALSE,0.0126009839377139,"0.46",0.40502421067985,FALSE,FALSE,-70.6
"ICAM3",-0.209410506262563,0.00166353724700286,0.0100408484729491,0.24186775737475,FALSE,0.0103725539966661,"0.55",0.432609374116311,FALSE,FALSE,-1488.2
"ICAM4",-0.254710881437133,0.000120113787513976,0.00114740788266997,0.247166857395884,FALSE,0.0222654638989503,"0.31",0.359105025718844,FALSE,TRUE,151.4
"ICAM5",0.025149021519593,0.708773749960191,0.83380051748771,0.109200197695608,FALSE,0.00851407922770789,"0.3",0.525781630665939,FALSE,FALSE,-6
"ICE2",-0.0617403518188272,0.35878932881933,0.549345188741688,0.0924248609963191,FALSE,5.11138189144627e-05,"0.03",0.498018989768372,FALSE,FALSE,0
"ICK",-0.152773190038981,0.0224904584361107,0.0787633761274134,0.147694168156193,FALSE,0.00154928893588037,"0.1",0.330264469092111,FALSE,FALSE,0
"ICMT",-0.147082900710596,0.0280898195275352,0.0930381547037328,0.166414575774015,FALSE,0.000123945313460134,"0.03",0.3751038122349,FALSE,FALSE,0
"ICOS",-0.186948219992961,0.00509795582340944,0.0246188870325074,0.190825320527066,FALSE,0.00969803304199635,"0.76",0.76354729979147,FALSE,FALSE,-1531.4
"ID1",-0.207354792318144,0.00185215346012457,0.0109405282710403,0.263451267328838,FALSE,0.00327859889684453,"0.36",0.510199741904668,FALSE,FALSE,0
"ID2",-0.0411676624432529,0.540823132948897,0.707285504868552,0.153157404324018,FALSE,0.00258133680093915,"0.2",0.0807898492525856,FALSE,FALSE,-16
"ID3",-0.071804067039493,0.285693730015721,0.476884408018313,0.110569557646414,FALSE,0.000437038723207542,"0.11",0.618404844271341,FALSE,FALSE,0
"ID4",-0.37123746905137,1.07619606559695e-08,2.51710302009063e-07,0.416177952899125,FALSE,0.0179402250173481,"0.38",0.147769979482688,TRUE,TRUE,224
"IDE",-0.127772460357887,0.056761520946643,0.156515744776381,0.152402772105642,FALSE,0.000293820276345873,"0.06",0.561477202349125,FALSE,FALSE,0
"IDH1",-0.180487269095935,0.00688550906779639,0.0312418710127729,0.186127086322519,FALSE,0.000607180889976026,"0.05",0.384284301908283,FALSE,FALSE,0
"IDH2",-0.0373916019310569,0.578599230903199,0.739032152333613,0.105303166089197,FALSE,0.000361112552259834,"0.02",0.684453284332591,FALSE,FALSE,0
"IDH3A",0.0228565677869447,0.734272633634604,0.851259422234925,0.107912716701175,FALSE,0.000139862898699293,"0.01",0.867085277744994,FALSE,FALSE,0
"IDH3B",-0.19788732261007,0.0029985567583819,0.0162440197921902,0.232829171786635,FALSE,0.000336802719464434,"0.06",0.377692210879769,FALSE,FALSE,0
"IDI1",-0.203304370316167,0.00228198052498119,0.0131280025186827,0.203459053533614,FALSE,0.000102594064766093,"0.03",0.219797321600475,FALSE,FALSE,0
"IDI2",0.16134687210366,0.0158781403569117,0.0602031259335076,0.176641063981246,FALSE,0.0033059354826894,"0.85",0.277608972645172,FALSE,FALSE,-1372.4
"IDUA",0.00966982880312744,0.885821730726321,0.941866244630008,0.191032937245879,FALSE,0.0018416607823397,"0.3",0.309443244932764,FALSE,FALSE,0
"IER2",0.0218361096036603,0.745719414901318,0.858828874747799,0.0979234928395547,FALSE,0.00912076916979988,"0.49",0.520595686790803,FALSE,TRUE,-41.8
"IER3",0.103458807876865,0.12345716551319,0.272046543835644,0.133290296696243,FALSE,0.000430346479475921,"0.09",0.505960015281827,FALSE,FALSE,0
"IER5",-0.110744723243703,0.0990339479997937,0.233249186617696,0.160295832130488,FALSE,7.94956186560547e-05,"0.04",0.633406727879241,FALSE,FALSE,0
"IFI16",-0.115401627562904,0.0855455691321447,0.209257349850534,0.15627780691648,FALSE,0.0042394442966104,"0.28",0.3985766085354,FALSE,FALSE,0
"IFI30",0.0529157068480836,0.431685744388385,0.619290684538187,0.129331539070413,FALSE,9.42448528504553e-05,"0.02",0.485028996838771,FALSE,FALSE,0
