"","r (Sp)","p (Sp)","adj.Spear.Pval","distCor","SigNegCorr","cMI_min","t_opt","ratio","meth_regulated","logicSc","numericSc"
"METAP1",0.187096774193548,0.322171559226561,0.764635758724302,0.35433510273853,FALSE,0.00181513945284298,"0.73",0.572842191161184,FALSE,FALSE,-253
"METAP2",-0.0625139043381535,0.742779564167764,0.942076046156948,0.25716299038869,FALSE,4.65115325404916e-05,"0.02",0.343983868134102,FALSE,FALSE,0
"METRN",-0.230700778642937,0.219997097417898,0.667632121178173,0.337554108122504,FALSE,0.0312789303278481,"0.42",0.634916874596198,FALSE,FALSE,-4
"METTL1",0.374416017797553,0.0415054829778199,0.329002638621811,0.369959820927441,FALSE,-0.00135821888570714,"0.83",-0.702391075255443,FALSE,FALSE,-278
"METTL2B",-0.190656284760845,0.312883173430176,0.757145284830286,0.2452639942893,FALSE,2.22339783087033e-05,"0.04",0.219790260443479,FALSE,FALSE,0
"METTL4",-0.0825361512791991,0.664578114151163,0.917804595579703,0.210004820760027,FALSE,0.0676671489362829,"0.47",0.591831406342107,FALSE,FALSE,-112
"METTL7A",-0.353058954393771,0.0556508197799697,0.376496522859247,0.442338818068572,FALSE,0.0713033714124955,"0.26",0.31195123658606,FALSE,FALSE,-2
"METTL7B",-0.0989988876529477,0.602728902285742,0.898713258212621,0.297834690397522,FALSE,0.00012933699709055,"0.05",0.262038873586809,FALSE,FALSE,0
"MFAP1",0.173303670745273,0.359747651316187,0.791166228712598,0.289600379341505,FALSE,0.000606608036936345,"0.1",0.0998633059915882,FALSE,FALSE,0
"MFAP2",-0.0104560622914349,0.956267458829717,0.990718904126847,0.215055156666791,FALSE,0.0148199172547508,"0.67",0.543561564921505,FALSE,FALSE,-102
"MFAP3",0.0233592880978865,0.902484021476916,0.97715336955069,0.271835719081573,FALSE,0.00167177661767058,"0.79",0.427600867175,FALSE,FALSE,-299
"MFAP4",-0.148387096774194,0.433884583955242,0.829573302330853,0.291265696187322,FALSE,-0.00157065114243067,"0.49",-1.88469900314013,FALSE,FALSE,-272
"MFAP5",0.171078976640712,0.366042454109562,0.793336431259399,0.34726085398908,FALSE,0.00953224983672566,"0.46",0.25895213668629,FALSE,FALSE,-2
"MFGE8",-0.363737486095662,0.0481671506976633,0.350724785112024,0.437889983518182,FALSE,0.00742234959504375,"0.13",0.227518044489377,FALSE,FALSE,0
"MFHAS1",0.0909899888765295,0.632514915493978,0.907278308510683,0.279160338302372,FALSE,0.000197198585800346,"0.03",0.347928071694867,FALSE,FALSE,0
"MFI2",-0.587541713014461,0.000640717831473125,0.0324906868201037,0.616982151948633,TRUE,0.0756603270203143,"0.19",0.380194070216099,FALSE,FALSE,0
"MFN1",0.244493882091212,0.192878037161749,0.635965638351322,0.308772336427335,FALSE,4.39193388302444e-05,"0.04",0.200597972476879,FALSE,FALSE,0
"MFN2",0.147052280311457,0.438077355192466,0.832823544373426,0.390100760328113,FALSE,0.000100317271894063,"0.05",0.12163479393842,FALSE,FALSE,0
"MFNG",0.0349276974416018,0.85461474028828,0.969980898774438,0.438921951391356,FALSE,0.00942060671664536,"0.05",0.0879745998607015,TRUE,FALSE,0
"MFSD1",-0.26273637374861,0.160705392330659,0.593836223644747,0.481422024435111,FALSE,0.0118721968079544,"0.4",0.10623962525659,TRUE,FALSE,0
"MFSD3",-0.198220244716351,0.293705192921892,0.742532224883102,0.217506547493028,FALSE,0.000417493455949208,"0.05",0.152924367301447,FALSE,FALSE,0
"MFSD4",-0.215572858731924,0.252588659080436,0.704605741280616,0.386675780760656,FALSE,0.0693641793136348,"0.42",0.2703829997137,FALSE,FALSE,-29
"MFSD5",0.234260289210234,0.212763772455735,0.661407687828324,0.309584796554989,FALSE,0.00017720237269459,"0.09",0.10354904184885,FALSE,FALSE,0
"MFSD7",-0.0411568409343715,0.829036166887799,0.96466111654154,0.617164717574781,FALSE,0.0165223161665234,"0.53",0.158454161703233,TRUE,FALSE,-6
"MGAM",0.053615127919911,0.778414109065849,0.950957825863517,0.403961394227178,FALSE,0.0356658239239337,"0.14",0.511747889639811,FALSE,FALSE,-37
"MGAT1",-0.1706340378198,0.36730916166814,0.793960945268963,0.482373434183232,FALSE,0.0448872558961335,"0.64",0.472715955940252,FALSE,FALSE,-31
"MGAT2",-0.100778642936596,0.596191792938287,0.895904560918904,0.252156387566282,FALSE,8.40760699262748e-05,"0.03",0.407487835738394,FALSE,FALSE,0
"MGAT3",0.247608453837597,0.187091030160438,0.630987830045253,0.25609531637796,FALSE,0.0149218512101519,"0.12",0.279936281545133,FALSE,FALSE,-181
"MGAT4A",0.0972191323692992,0.609296324690827,0.899999603662302,0.300201119581518,FALSE,0.0854285458863315,"0.48",0.323188604706269,FALSE,FALSE,-268
"MGAT4B",0.219577308120133,0.243668222268603,0.693691061841869,0.379614803902732,FALSE,0.000112632926382955,"0.06",0.280116322201161,FALSE,FALSE,0
"MGAT4C",0.119466073414905,0.529482024334448,0.86488155225985,0.321559040502804,FALSE,-0.000680624131841764,"0.73",-0.310394875297084,FALSE,FALSE,-103
"MGAT5",-0.0447163515016685,0.814494678188017,0.962030264067556,0.269961082750934,FALSE,0.000227785676290086,"0.88",0.953647070623835,FALSE,FALSE,-180
"MGAT5B",-0.0482758620689655,0.800013362090356,0.957571315066845,0.230374340162711,FALSE,0.00665741079056733,"0.15",0.347718683733073,FALSE,FALSE,-78
"MGEA5",-0.00244716351501669,0.989760140685913,0.995897372491034,0.301067149570452,FALSE,9.33141837784935e-05,"0.04",0.39384459627925,FALSE,FALSE,0
"MGLL",-0.505228031145717,0.00440318636338244,0.101658117686303,0.343299274447269,TRUE,0.0103348488113552,"0.14",0.0609970245411312,TRUE,FALSE,-2
"MGMT",0.117241379310345,0.537231411675096,0.869041812192739,0.551421881059114,FALSE,0.0289617045343476,"0.47",0.331832523469478,FALSE,FALSE,-111
"MGP",-0.103448275862069,0.586443865916956,0.891875200555724,0.282161347641187,FALSE,0.00476312580687538,"0.22",0.407449465065239,FALSE,FALSE,-4
"MGST1",-0.452280311457175,0.0120957661284171,0.176148471093192,0.413375837460819,FALSE,0.0842882358724926,"0.4",0.383415055292585,FALSE,FALSE,-85
"MGST2",-0.269855394883204,0.149255171658825,0.576467016277657,0.436445575270481,FALSE,0.0121358498198597,"0.47",0.271921367361015,FALSE,FALSE,-18
"MGST3",0.179977753058954,0.341252354823072,0.779936720007098,0.283811663174702,FALSE,0.000117049129395879,"0.04",0.67748129610395,FALSE,FALSE,0
"MIA",-0.664071190211346,6.29966475123034e-05,0.00862143276014764,0.552410009387237,TRUE,0.0436981174260089,"0.42",0.209605334464007,TRUE,FALSE,-4
"MIA2",-0.486540600667408,0.00640417039886287,0.12651299401858,0.513314300446806,FALSE,0.00931722113128037,"0.36",0.078980466843356,TRUE,TRUE,39
"MIB1",0.164849833147942,0.384010240846991,0.803457787029098,0.25919800999315,FALSE,1.5320990921039e-05,"0.02",0.101372819091682,FALSE,FALSE,0
"MICA",0.0812013348164627,0.669696047431882,0.91928427828142,0.228234899182984,FALSE,0.0222474770961555,"0.23",0.936522817811861,FALSE,FALSE,0
"MICAL1",-0.378865406006674,0.0389572311358415,0.321361792644897,0.459764700396999,FALSE,0.00586606785087616,"0.16",0.0721527385292541,FALSE,FALSE,0
"MICAL2",-0.230700778642937,0.219997097417898,0.667632121178173,0.376739674431549,FALSE,0.00249190127350619,"0.1",0.196804090653857,FALSE,FALSE,0
"MICB",-0.479421579532814,0.00734737306929834,0.135265495452447,0.272601356889024,FALSE,0.0274405994223724,"0.43",0.243785567407511,TRUE,FALSE,-4
"MID1",-0.00689655172413793,0.971147412615569,0.994345002695173,0.338569374764195,FALSE,0.082812771858977,"0.39",0.434025274175293,FALSE,FALSE,-83
"MID1IP1",-0.515906562847608,0.0035210721128065,0.0906935558489094,0.523633897226929,TRUE,0.0117561359290339,"0.15",0.079737670865299,TRUE,FALSE,0
"MID2",0.0847608453837597,0.656081077167874,0.915756322874156,0.206756982595318,FALSE,0.0295594918598294,"0.58",0.357194556961529,FALSE,FALSE,-4
"MIF",-0.402892102335929,0.027280781205159,0.273989738027764,0.499724444454139,FALSE,5.02017755625578e-05,"0.04",0.169557353174086,FALSE,FALSE,0
"MIF4GD",-0.295216907675195,0.11324061439723,0.51369813855357,0.353883460121368,FALSE,5.2074234630496e-05,"0.02",0.542303485325414,FALSE,FALSE,0
"MINA",0.119911012235818,0.527938621975113,0.864224644331359,0.315812773319679,FALSE,0.000447505244919489,"0.05",0.480665246203908,FALSE,FALSE,0
"MINPP1",-0.218687430478309,0.245632217030446,0.696489354280788,0.324421650487615,FALSE,0.000267164487930534,"0.06",0.531424241495213,FALSE,FALSE,0
"MIOX",-0.289877641824249,0.120223135845122,0.523625230086173,0.403573995077874,FALSE,0.00947558117607667,"0.16",0.156698588856881,FALSE,FALSE,-31
"MIP",0.028698553948832,0.880338585135367,0.972077961364113,0.297755698824621,FALSE,-0.00271155871767774,"0.33",4.18459062813669,FALSE,FALSE,-70
"MIPEP",-0.0660734149054505,0.728665867429545,0.936408596915059,0.258983267349033,FALSE,0.00015587429674202,"0.09",0.509952031290087,FALSE,FALSE,0
"MIPOL1",-0.451835372636263,0.0121911083783113,0.177082864538667,0.430926816048913,FALSE,0.0950243808986534,"0.1",0.3574982591332,FALSE,TRUE,36
"MIS12",0.181757508342603,0.336419305218801,0.778286535230216,0.370826421013294,FALSE,0.00391607217194656,"0.66",0.369118127921886,FALSE,FALSE,-284
"MITF",-0.0825361512791991,0.664578114151163,0.917804595579703,0.221349317259928,FALSE,0.00479406354832157,"0.21",0.138931838564099,FALSE,FALSE,0
"MIXL1",-0.0300333704115684,0.874815367350481,0.971266519180345,0.237269045236639,FALSE,0.00136076477046407,"0.68",0.425830417296382,FALSE,FALSE,-49
"MKI67",0.0727474972191324,0.70243884742446,0.92887111384103,0.284143096562091,FALSE,0.000115258807364437,"0.03",0.595181836828928,FALSE,FALSE,0
"MKKS",-0.248943270300334,0.184648374614498,0.626656972586222,0.433194298227729,FALSE,0.000774720128725108,"0.07",0.233479887537857,FALSE,FALSE,0
"MKL1",-0.1412680756396,0.456498184404809,0.838784030516698,0.253776645844531,FALSE,0.00177498437467622,"0.12",0.131917227643484,FALSE,FALSE,-4
"MKLN1",0.0153503893214683,0.93583202046693,0.984908359166484,0.298902782599458,FALSE,0.000135128382512854,"0.03",0.598414830322139,FALSE,FALSE,0
"MKNK1",0.162625139043382,0.390548788014103,0.807323691183293,0.326871147874033,FALSE,0.000332217088613653,"0.08",0.428027110978323,FALSE,FALSE,0
"MKNK2",-0.154171301446051,0.415971497407359,0.821314138545141,0.288067385400422,FALSE,0.0186491858283854,"0.34",0.33061405961119,FALSE,FALSE,-10
"MKRN1",-0.512791991101224,0.00376108756518145,0.0945181275506552,0.441881087613834,TRUE,0.00358699089088063,"0.11",0.330768129299582,FALSE,FALSE,0
"MKRN2",0.0496106785317019,0.794599308561224,0.956070736223115,0.299232699028076,FALSE,5.98300914082657e-05,"0.04",0.214219191138799,FALSE,FALSE,0
"MKRN3",-0.229810901001112,0.221831170322177,0.669620054129579,0.393382176109724,FALSE,0.0241738540835442,"0.5",0.436108209025032,FALSE,FALSE,-27
"MKS1",0.219132369299221,0.244648912179294,0.695089293007655,0.311849050976295,FALSE,5.75997647337931e-05,"0.84",0.0377676310724644,FALSE,FALSE,-305
"MLANA",-0.0981090100111235,0.606008850375706,0.899353871363685,0.291246944328719,FALSE,0.000569196603587928,"0.72",0.151409265159929,FALSE,FALSE,-366
"MLC1",0.204894327030033,0.277416683245621,0.726579687569059,0.327357287942935,FALSE,0.00679706512495595,"0.28",0.281221647115719,FALSE,FALSE,-139
"MLF1",-0.426473859844271,0.0187668759332795,0.222984250759542,0.499585254215253,FALSE,0.148471068709382,"0.51",0.315987615183729,FALSE,FALSE,-29
"MLF2",-0.447830923248053,0.0130778457109693,0.184306761080521,0.451441492391014,FALSE,9.67310510904182e-05,"0.03",0.425647323574508,FALSE,FALSE,0
"MLH1",-0.54349276974416,0.0019095471435393,0.0626894393163669,0.570900548199213,TRUE,0.118337124857642,"0.6",0.329757709767794,FALSE,FALSE,-97
"MLH3",-0.0989988876529477,0.602728902285742,0.898713258212621,0.249168886446551,FALSE,0.00258496854453525,"0.18",0.0604147367532637,FALSE,FALSE,0
"MLLT1",-0.0905450500556173,0.634186911747519,0.907727965037811,0.376935993193968,FALSE,9.70011385151269e-05,"0.05",0.478720503590952,FALSE,FALSE,0
"MLLT10",-0.236929922135706,0.207446479632785,0.654551267263558,0.315394757848631,FALSE,0.000185407758141963,"0.04",0.0933508185228912,FALSE,FALSE,0
"MLLT11",-0.365962180200222,0.0467136457129029,0.34545592555525,0.369174971734019,FALSE,0.149645507520792,"0.26",0.404185042352902,FALSE,TRUE,27
"MLLT3",0.0122358175750834,0.94883257409802,0.988606605134784,0.308227271536607,FALSE,0.000638508281002807,"0.05",0.342920585866179,FALSE,FALSE,0
"MLLT4",-0.0807563959955506,0.671405266055858,0.919297543048275,0.27441362798716,FALSE,7.41459650280214e-05,"0.03",0.282386372763681,FALSE,FALSE,0
"MLLT6",-0.0384872080088988,0.839979014857376,0.967331435568575,0.319224021228399,FALSE,0.00151334891757661,"0.17",0.174705991755041,FALSE,FALSE,0
"MLN",0.189321468298109,0.316346586074491,0.760182117880291,0.311909274856352,FALSE,0.000905295093417906,"0.11",0.0723746873073834,FALSE,FALSE,-8
"MLNR",-0.018020022246941,0.924701422565719,0.98284677261383,0.31312454347317,FALSE,-0.000543463713297748,"0.42",-0.0787352994681271,FALSE,FALSE,-57
"MLPH",-0.659176863181313,7.44995995667352e-05,0.00984001106370402,0.669513318634559,TRUE,0.100785005287637,"0.32",0.290590439624814,FALSE,FALSE,-2
"MLX",0.0380422691879867,0.841805725908563,0.967331435568575,0.301065902203427,FALSE,0.00464365611732096,"0.28",0.132914068958162,FALSE,FALSE,-6
"MLXIP",-0.29432703003337,0.114382888160042,0.515718467320768,0.35079512401818,FALSE,0.0104305092829105,"0.5",0.164121044498743,FALSE,FALSE,-197
"MMAA",-0.0852057842046719,0.654386663517159,0.915190607103104,0.277941856076981,FALSE,0.0307492680235738,"0.74",0.398872888716586,FALSE,FALSE,-149
"MMAB",-0.383314794215795,0.0365360970115129,0.310638866731868,0.455850661235152,FALSE,0.000104742505210469,"0.07",0.288552172628694,FALSE,FALSE,0
"MMD",-0.242269187986652,0.19708696405477,0.640546730957979,0.347164879811601,FALSE,0.00276076548547904,"0.34",0.0553918619357421,FALSE,FALSE,-4
"MME",0.116796440489433,0.538787726926442,0.869825154939945,0.284097437454417,FALSE,0.0701152931488305,"0.6",0.475401229654218,FALSE,FALSE,-54
"MMP1",0.0598442714126808,0.753419020854312,0.944705448491459,0.28784482786437,FALSE,0.00929702638607682,"0.58",0.146078040408415,FALSE,FALSE,-83
"MMP10",0.215127919911012,0.253592921176534,0.70532859736637,0.371165049414042,FALSE,5.07205234208355e-05,"0.31",0.00233980880302829,FALSE,FALSE,-2
"MMP11",0.032258064516129,0.86562292590261,0.970642726093559,0.340358761741374,FALSE,0.050503079307179,"0.24",0.404324294384275,FALSE,FALSE,-35
"MMP12",-0.00511679644048943,0.978591258394917,0.994726702898522,0.213680501112347,FALSE,0.00695024384003478,"0.58",0.180772954635094,FALSE,FALSE,-25
"MMP13",-0.0291434927697442,0.878496888104743,0.972077961364113,0.223600628566756,FALSE,0.000396359932589573,"0.59",0.124801669700867,FALSE,FALSE,-43
"MMP14",-0.552836484983315,0.00153364567969438,0.0561957460504791,0.543669355655618,TRUE,0.0648551274603376,"0.6",0.281804397832204,FALSE,TRUE,34
"MMP15",-0.60845383759733,0.000360532340864195,0.0242324666264875,0.677376634356202,TRUE,0.00376750289511278,"0.12",0.174706639049438,FALSE,FALSE,0
"MMP16",0.115906562847608,0.541906752053815,0.871146164248414,0.399528144296306,FALSE,0.00809282703563066,"0.29",0.092494525419099,FALSE,FALSE,0
"MMP17",-0.368186874304783,0.0452952353442893,0.340283451240596,0.368142956457836,FALSE,0.0016237632472431,"0.69",0.0309568897865638,FALSE,FALSE,-51
