"";"CACO2";"CO115";"COLO201";"COLO205";"COLO320";"DLD1";"HCC2998";"HCT116";"HCT15";"HT29";"IS1";"IS2";"KM12";"LIM1215";"LIM2405";"LOVO";"LS174T";"RKO";"RW2982";"RW7213";"SKCO1";"SW1116";"SW403";"SW48";"SW620";"SW837";"SW948";"T84";"TC71";"VACO5"
"AASS";4,703434535;3,592143149;3,712327189;3,806609205;7,076610774;5,032488394;5,41995944;5,587827071;6,103829133;3,455402055;4,178430669;5,751968751;5,376145642;6,647002726;5,925873524;6,17760572;5,817936493;7,455858603;4,75589923;3,226644794;3,053720029;4,101440114;5,098116532;4,805394191;3,954618257;3,575875102;5,30003559;3,076871772;6,30229733;3,875309879
"AATF";9,619824027;10,20501413;10,23358753;10,16884789;10,12015203;9,639837592;9,320009897;9,617051229;9,747028515;10,00324285;9,684308811;9,496388401;9,651168107;9,366721716;10,4839847;9,147822873;9,337107295;9,684597708;9,281418934;9,835456186;9,224799452;9,355107497;9,614508124;9,712477239;9,718902093;10,03541398;9,213501142;9,414593559;9,590830072;9,710449374
"AATK";7,50422268;7,399250508;6,914465249;6,773829924;6,785774538;6,852009912;7,654153088;7,268394357;7,290539523;7,484872695;6,751306926;7,184369546;6,879112801;6,930838393;6,837354049;7,485627363;7,016026331;7,095693438;7,752013223;7,71134409;7,314232982;7,025202813;7,56268526;7,216082756;7,197065606;7,402083617;7,514203724;6,903939163;6,836645708;7,023621203
"ABAT";9,22980606;4,10966635;6,597972131;6,663970863;8,045389919;7,47326622;6,993676761;6,836875806;6,605735099;3,411942479;4,986797625;7,362189586;4,92943314;7,899017408;5,444254944;3,627859493;6,951081976;6,530876477;6,187189923;5,092336768;4,68897943;8,327781313;8,690878851;6,110811919;6,541791008;4,045861068;5,881619778;6,703228603;4,892164699;4,756747942
"ABCA1";5,491057429;4,918394007;5,362882447;4,813417833;3,827196686;4,195989096;3,865223977;4,645251227;3,948997292;6,75291653;4,05364243;4,172792658;5,963122784;4,031955028;6,088215883;3,643082102;4,233181192;3,940141314;3,679792668;3,468823683;6,007479393;5,43478244;5,497500418;5,878642594;5,017287398;4,439358656;5,402949045;4,671496393;3,96466731;5,934838373
"ABCA2";5,237844792;5,960391263;5,429914811;5,121108709;5,866012788;5,491121304;5,455352203;5,924685094;5,725024913;6,174043597;5,755018377;5,392974913;5,483503096;5,918728924;5,654223047;6,033952577;6,30543509;6,766922661;6,47238708;6,937965412;6,087016334;5,225896676;5,896153533;5,543570002;5,307269743;5,716136229;6,147334622;6,146842566;5,657157966;5,946164063
"ABCA3";7,410667868;7,364486874;5,708809893;5,515770716;8,325907006;6,035464395;6,439518433;6,444898945;7,90781048;5,889514219;7,924525482;7,763982955;7,801700528;5,675028385;7,525331309;8,132676222;7,377754471;8,026525294;8,894819668;6,383399051;6,122261635;6,434819781;6,244893486;6,235466028;6,588426525;6,683424937;6,372179771;5,755915382;7,434276289;7,4199665
"ABCA4";4,963990425;5,23569378;4,988079896;4,900293975;5,187445933;5,041687902;5,094229457;5,164835482;5,09216363;5,028803831;4,745798919;4,957177801;5,060611823;5,228811733;5,010516991;5,279220593;5,565878983;5,11461111;5,623262251;5,029132506;4,979873803;5,051695235;5,194533343;5,016965424;5,024822014;5,008329638;5,45846431;5,07826862;5,090726039;4,962285042
"ABCA5";5,651115712;5,321703356;6,195606764;6,920701601;5,96710801;6,103845698;6,388096368;6,320520454;6,299530917;5,285427952;5,563553541;7,293389682;5,192687284;6,794167115;6,312336866;5,646209249;6,553372679;6,927094649;5,684157376;6,12487234;3,831732665;6,494053725;7,780971157;7,395125401;7,027000023;4,742337587;5,922995371;3,911723516;6,633403356;4,980668966
"ABCA6";3,425051001;3,581441382;3,517576279;3,48815677;3,383508761;3,315432112;3,46929803;3,454182114;3,497009464;3,563071258;3,372563992;3,369893999;3,65241029;3,447872906;3,403421023;3,624587586;3,808839834;3,591503451;3,681100574;3,382833445;3,481252608;3,497777608;3,28409325;3,348708425;3,533875966;3,443446055;3,306081952;3,569900889;3,558021315;3,329915584
"ABCA7";7,851524351;7,96407381;6,916782483;7,022435767;6,870076156;7,535455214;8,043915418;7,886549272;7,402675313;7,628341861;7,793909464;7,762199088;6,374196292;6,990696569;7,340763367;6,933771177;7,38902817;7,093074554;7,636329909;7,329162276;7,358936886;7,456684591;6,214763145;7,624105436;7,093895487;7,713946227;7,099354446;7,112008447;7,844982813;6,896964879
"ABCA8";3,695189539;3,615505299;3,602958903;3,705223089;4,321912155;3,572243445;3,336829874;3,629632043;3,592507201;3,508785406;3,390452933;3,382525114;3,598817599;3,517364822;3,539132455;3,454157131;3,668463672;3,40271563;3,541187212;3,481709675;3,466721883;3,416568252;3,434310991;3,435277442;3,623760515;3,741464887;3,576941486;3,380459276;3,651284409;3,606150192
"ABCA9";3,813255216;4,012303518;3,883557459;3,827364288;3,756767965;3,769139854;3,903032638;4,047511001;3,750536752;3,940271681;4,081830377;3,884971042;4,055164953;3,780335898;3,958407943;3,859624319;3,75311212;3,889608577;4,006233494;4,028851445;4,061061814;4,33430704;3,842739728;4,050048767;3,87192483;3,80225028;4,017960021;3,826752191;3,692424125;3,795908201
